epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.9124,1.18725,1.00746,0.81906,0.8155,0.6187,0.68557,0.40749,1.10434,0.63164,0.80448,0.000413943,0.000413943,0.000413943
2,126.434,1.20291,0.69091,0.8119,0.82626,0.56894,0.64766,0.37024,1.27212,0.70287,0.813,0.000822387,0.000822387,0.000822387
3,190.976,1.20475,0.72195,0.81673,0.84688,0.59008,0.64065,0.39545,1.10459,0.62343,0.80867,0.00122258,0.00122258,0.00122258
4,252.964,1.17029,0.68683,0.81007,0.91648,0.64508,0.69941,0.47881,1.00818,0.58907,0.79711,0.00121287,0.00121287,0.00121287
5,315.446,1.15785,0.60938,0.80662,0.84463,0.70069,0.75735,0.45945,1.05345,0.52443,0.8053,0.0012005,0.0012005,0.0012005
6,377.529,1.07893,0.54856,0.80114,0.91233,0.6392,0.75545,0.46941,0.96951,0.50992,0.79586,0.00118812,0.00118812,0.00118812
7,439.513,1.08387,0.54637,0.79929,0.87629,0.62445,0.72585,0.47385,0.95211,0.49533,0.79863,0.00117575,0.00117575,0.00117575
8,501.585,1.16632,0.57465,0.80624,0.85169,0.67921,0.76096,0.43407,1.17688,0.5535,0.80981,0.00116337,0.00116337,0.00116337
9,563.689,1.05462,0.53716,0.80226,0.91303,0.65466,0.74741,0.48249,0.91197,0.50062,0.79203,0.001151,0.001151,0.001151
10,626.278,1.0471,0.52367,0.79739,0.92826,0.66049,0.77534,0.51296,0.88634,0.46644,0.79202,0.00113863,0.00113863,0.00113863
11,688.839,0.99406,0.4959,0.79526,0.88758,0.70655,0.76937,0.49318,0.92854,0.48286,0.79208,0.00112625,0.00112625,0.00112625
12,750.894,1.01903,0.52287,0.79586,0.90501,0.69397,0.77513,0.51678,0.92793,0.48374,0.7929,0.00111388,0.00111388,0.00111388
13,813.458,0.97815,0.48395,0.79636,0.82499,0.7305,0.75925,0.48939,0.94968,0.47297,0.79846,0.0011015,0.0011015,0.0011015
14,875.929,0.9724,0.47788,0.7947,0.88253,0.69016,0.76412,0.50459,0.8874,0.46028,0.79327,0.00108913,0.00108913,0.00108913
15,938.248,0.96638,0.46634,0.79262,0.84178,0.67125,0.72614,0.4668,1.04223,0.5109,0.80403,0.00107675,0.00107675,0.00107675
16,1000.29,0.9747,0.46305,0.79052,0.87726,0.73908,0.78159,0.53592,0.87676,0.44405,0.79108,0.00106437,0.00106437,0.00106437
17,1062.95,0.95989,0.46375,0.79144,0.87468,0.65176,0.75126,0.46553,0.94986,0.48396,0.79563,0.001052,0.001052,0.001052
18,1125.23,0.96573,0.46486,0.79062,0.87011,0.75034,0.77798,0.51894,0.89132,0.45782,0.79114,0.00103962,0.00103962,0.00103962
19,1187.31,0.94662,0.45539,0.79309,0.87797,0.75277,0.79654,0.52004,0.86467,0.43958,0.79288,0.00102725,0.00102725,0.00102725
20,1249.23,0.93958,0.45802,0.7899,0.90591,0.71021,0.7832,0.52397,0.89869,0.44911,0.78979,0.00101488,0.00101488,0.00101488
21,1311.17,0.91785,0.44194,0.78885,0.86026,0.72256,0.77068,0.52754,0.85629,0.43489,0.7888,0.0010025,0.0010025,0.0010025
22,1373.05,0.9472,0.44093,0.78951,0.86899,0.75347,0.78994,0.53129,0.88149,0.43664,0.79094,0.000990125,0.000990125,0.000990125
23,1435.13,0.9115,0.44016,0.78773,0.88342,0.71124,0.79275,0.53144,0.88274,0.45536,0.7886,0.00097775,0.00097775,0.00097775
24,1497.16,0.95633,0.46461,0.78809,0.90007,0.68938,0.77981,0.51598,0.93663,0.50128,0.79458,0.000965375,0.000965375,0.000965375
25,1559.25,0.92031,0.45403,0.79103,0.87277,0.74931,0.79701,0.539,0.85104,0.43202,0.78961,0.000953,0.000953,0.000953
26,1621.65,0.88896,0.42795,0.78951,0.85208,0.74953,0.79113,0.54066,0.86917,0.44475,0.78846,0.000940625,0.000940625,0.000940625
27,1684.06,0.87651,0.42304,0.78814,0.86001,0.76254,0.80561,0.54536,0.85676,0.42893,0.78843,0.00092825,0.00092825,0.00092825
28,1746.66,0.92225,0.44281,0.78621,0.90627,0.74417,0.79784,0.54149,0.85271,0.42742,0.78829,0.000915875,0.000915875,0.000915875
29,1808.69,0.90609,0.43109,0.78717,0.87656,0.77708,0.8095,0.53862,0.91617,0.46266,0.79079,0.0009035,0.0009035,0.0009035
30,1870.74,0.91035,0.43684,0.78918,0.87206,0.74394,0.77453,0.53341,0.8471,0.42653,0.78826,0.000891125,0.000891125,0.000891125
31,1932.79,0.85061,0.41108,0.78564,0.89085,0.70977,0.79,0.53634,0.82609,0.41298,0.78638,0.00087875,0.00087875,0.00087875
32,1994.88,0.85624,0.40923,0.78347,0.90185,0.7577,0.81625,0.56434,0.82071,0.41143,0.78754,0.000866375,0.000866375,0.000866375
33,2057.4,0.85001,0.40625,0.78406,0.94412,0.69889,0.78263,0.53026,0.85091,0.43108,0.78928,0.000854,0.000854,0.000854
34,2119.46,0.85686,0.40892,0.78372,0.8058,0.72106,0.7785,0.52112,0.90135,0.45766,0.79697,0.000841625,0.000841625,0.000841625
35,2181.54,0.87024,0.42295,0.78678,0.87943,0.70844,0.78954,0.49979,0.88922,0.44997,0.7903,0.00082925,0.00082925,0.00082925
36,2243.61,0.89957,0.42596,0.78504,0.90858,0.76078,0.80329,0.54668,0.80728,0.40766,0.78828,0.000816875,0.000816875,0.000816875
